Source,Target,Type
1128528872482463744,12,Undirected
1129251846315495424,12,Undirected
1128930889751154688,11,Undirected
1129696444879761408,10,Undirected
1129715350675660800,11,Undirected
1128859870793388032,10,Undirected
1127007122628046848,12,Undirected
1128197071171833857,12,Undirected
1128778521994715137,14,Undirected
1128885579611959296,10,Undirected
1127381852455497728,11,Undirected
1129885024331821061,14,Undirected
1129660504618741760,12,Undirected
1128407120649441280,13,Undirected
1129711957324361734,12,Undirected
1128966950757920768,11,Undirected
1128816832532500480,11,Undirected
1128548062924767232,12,Undirected
1129719525031591937,10,Undirected
1130035912325435393,10,Undirected
1128868419766370304,10,Undirected
1129737790751760384,10,Undirected
1129582387044728833,13,Undirected
1128465161021345792,10,Undirected
1129558493050990593,13,Undirected
1128653778058711041,12,Undirected
1128024018202710016,11,Undirected
1128901690378186753,13,Undirected
1127542370856083456,12,Undirected
1127392517442269184,10,Undirected
1128869135654350852,11,Undirected
1128837655234408448,12,Undirected
1129727003131817986,10,Undirected
1129367846012633089,12,Undirected
1129870062519631873,11,Undirected
1127804875859849216,12,Undirected
1129632217276174336,12,Undirected
1129743789453717504,12,Undirected
1129984198788300800,10,Undirected
1129303716375306241,11,Undirected
1129711931109961728,10,Undirected
1129526056694702080,12,Undirected
1128610768541216768,12,Undirected
1129702236790042624,10,Undirected
1129216592754032641,10,Undirected
1129689444691275777,11,Undirected
1129724007102734337,12,Undirected
1130029901568888832,14,Undirected
1129735005834502144,10,Undirected
1128109078272548864,11,Undirected
1127422050283376640,11,Undirected
1129533332742520834,14,Undirected
1129733373126172672,13,Undirected
1130281688687267840,14,Undirected
1129152359555141632,12,Undirected
1127410830419456000,10,Undirected
1129263701075193858,11,Undirected
1128961256092626945,11,Undirected
1128488010402504704,11,Undirected
1127878047011487754,12,Undirected
1130229659122016257,13,Undirected
1130213284336955392,10,Undirected
1129551577226760192,12,Undirected
1129580741484875776,14,Undirected
1127380903712288768,12,Undirected
1129733765486579719,14,Undirected
1129513770445754368,12,Undirected
1129734422851465222,12,Undirected
1129506393004707845,11,Undirected
1128449472906682368,12,Undirected
1128895411391848448,10,Undirected
1126974944573775875,12,Undirected
1129578888332374017,10,Undirected
1129190888444289025,12,Undirected
1129689079078014977,12,Undirected
1129248416658182146,11,Undirected
1128882962768916480,11,Undirected
1129928011623493633,10,Undirected
1130407981017751553,10,Undirected
1129523943876902915,12,Undirected
1129294863193657344,12,Undirected
1129735152786128897,10,Undirected
1129298607016894464,10,Undirected
1128958047366275073,10,Undirected
1129388653510242310,11,Undirected
1128073029915832320,10,Undirected
1129121508180160512,13,Undirected
1129528816446033920,10,Undirected
1129682181209464833,10,Undirected
1128095457853431808,12,Undirected
1128089564139024384,11,Undirected
1129150330241871872,12,Undirected
1128041941105401856,11,Undirected
1130036846728105984,10,Undirected
1129520563632820224,10,Undirected
1128082543947862017,13,Undirected
1129744274248146945,12,Undirected
1129190611335110657,11,Undirected
1129995875038580736,10,Undirected
1128959555138797568,12,Undirected
1129692642130972672,12,Undirected
1128981223487942657,10,Undirected
1129854735463329792,10,Undirected
1128243399364972545,11,Undirected
1128865022065557505,12,Undirected
1129591617231286272,12,Undirected
1129640333006925825,10,Undirected
1130273707924918273,10,Undirected
1128074687831916544,12,Undirected
1128506592377196544,12,Undirected
1127379343368282112,10,Undirected
