Source,Target,Type
1129727491944452096,10,Undirected
1129269977507221504,11,Undirected
1127667789789941760,10,Undirected
1129888052262760449,10,Undirected
1128058413353558016,11,Undirected
1129931088854282240,12,Undirected
1130433923685634048,14,Undirected
1129152745556987904,10,Undirected
1128061127101804545,11,Undirected
1129932310294347776,10,Undirected
1129721678617964544,10,Undirected
1127850463510982656,12,Undirected
1129637408306130944,11,Undirected
1129604358394531841,12,Undirected
1128590287201157120,12,Undirected
1129510971628707840,11,Undirected
1129923260320108544,14,Undirected
1130400333006401537,10,Undirected
1127361965444046848,12,Undirected
1130292588630556673,11,Undirected
1128637497049735168,11,Undirected
1129499940592398336,13,Undirected
1128503638630862853,10,Undirected
1128172507226202112,12,Undirected
1128430567450484736,12,Undirected
1128194778821042177,10,Undirected
1128192530992943104,12,Undirected
1130304957976961029,12,Undirected
1129684202318811139,11,Undirected
1129336677678239747,13,Undirected
1127780239650611200,12,Undirected
1129528012930576385,12,Undirected
1129686198035730432,12,Undirected
1127904371218321408,13,Undirected
1128776622704738305,12,Undirected
1129352356745875456,12,Undirected
1128035388797284352,10,Undirected
1128996533095895040,10,Undirected
1128586525678002177,11,Undirected
1127724290034454530,12,Undirected
1127858811379675136,14,Undirected
1128076707070644224,12,Undirected
1128495129000435713,10,Undirected
1128532917452283905,10,Undirected
1128977813577428994,12,Undirected
1130392166730149888,11,Undirected
1129624869262331904,12,Undirected
1129572795745222657,14,Undirected
1129685522161422336,11,Undirected
1128838055253688320,11,Undirected
1129546810261794817,10,Undirected
1129867840176181249,10,Undirected
1127009637541171201,10,Undirected
1130311464349196288,13,Undirected
1129734874762481666,13,Undirected
1129320225151672320,11,Undirected
1127493592321118208,12,Undirected
1127030728468787200,10,Undirected
1129705329480982528,11,Undirected
1128788487916802048,14,Undirected
1130035712500293633,10,Undirected
1129305044111597568,10,Undirected
1127806673383378944,10,Undirected
1129884342883442688,10,Undirected
1128085225907441664,10,Undirected
1129509553484181504,14,Undirected
1129563708282220544,14,Undirected
1127141501673172993,11,Undirected
1127900407819161601,12,Undirected
1128932216128458752,14,Undirected
1128519933065740295,11,Undirected
1127110202551984129,12,Undirected
